id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
0,Sudama Nagar,Namo Sandwich,Fast Food,4.3,1e8a8069-35b7-426c-9ba0-da0e666d1e68
1,"BCM Heights, Vijay Nagar",Bake N Shake,"Cafe, Fast Food, Bakery",4.2,0d8f7da9-836d-49c7-8dcb-a2cbebc1c28c
2,Sarwate Bus Stand,Shree Gurukripa,North Indian,4.3,e97422b9-c3cf-4e8c-87ac-ba3bd7bca6a7
3,Old Palasia,Nafees Restaurant,"North Indian, Mughlai",4.3,2adc77b1-c064-466e-be0f-882bcb9ac579
4,Sarwate Bus Stand,Hotel Guru Kripa,North Indian,4.3,8214f604-f4b6-420e-9e77-acc53c856a07
5,Vijay Nagar,Shree Gurukripa,North Indian,4.1,bd1c87bc-9353-4fff-841d-d2fae6ea1654
6,Sarwate Bus Stand,Hotel Guru Kripa Avenue,North Indian,4.1,c1648302-677b-4f3c-9c47-bd74e289e923
7,Sudama Nagar,Maa Ki Rasoi,"North Indian, South Indian",4.1,876210ae-cff3-402b-ac0b-c03f9ffc9bcf
8,Vijay Nagar,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",4.3,8d7a6fff-4ae1-498b-9067-8e3a92458ea4
9,South Tukoganj,Dutt Guru Kripa,"North Indian, Fast Food",4.1,7fa131b7-f790-46ab-8ded-a5b8c7cba3bf
10,HIG-LIG,Oye24,"North Indian, Chinese",4.1,dd94244e-2f5b-4b88-930e-f760634bec8c
11,Old Palasia,Mitti - Organic. Fresh. Desi.,"Cafe, North Indian",4.3,6b9b771e-38d1-4119-af2b-ef0720d758a7
12," Hotel Somdeep Palace, Vijay Nagar",SD 21 - Hotel Somdeep Palace,"North Indian, Chinese",4.6,0a347a42-994b-407f-b540-2cfff7d59b35
13,New Palasia,Sagar Gaire,"South Indian, North Indian, Fast Food",4.1,f01b87b8-d7c0-4d59-a724-bc2df167d48a
14,"Sapna Sangeeta Mall, Sapna Sangeeta",Domino's Pizza,"Pizza, Fast Food",3.9,324126df-8a4a-4574-949b-6217cee52c93
15,"Sayaji Hotel, Vijay Nagar",Cravings - Sayaji Hotel,"North Indian, Chinese, Italian",4.7,9db2756c-6c40-48f4-98b9-d0bec20ca5ed
16,Sarafa Bazaar,Hotel Rajhans,North Indian,4,b3346ad4-6ccf-4419-9e34-4909743577df
17,Khajrana,Hotel Zakir,North Indian,4.1,fc436f31-f532-46df-a1c5-98b37204d7b4
18,"Hotel Effotel, Vijay Nagar",The Cube - Hotel Effotel,"North Indian, Chinese, Italian",4.8,be24aecf-8850-4ebc-8f09-774c4d54fd01
19,Sapna Sangeeta,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",4,ade4d6e8-7d68-4553-bfc5-fbb24611f0f6
20,Old Palasia,Domino's Pizza,"Pizza, Fast Food",3.9,533cba15-09a6-41ca-956c-06ac38ea1421
21,HIG-LIG,99 Rotiwala,North Indian,4.2,0e56658a-98c5-4f36-8993-27bfe9646346
22,"56 Dukan, New Palasia",Madhuram Sweets,"Chinese, Mithai",4,02b1f79b-2958-4bed-974e-30ef06923441
23,"Sayaji Hotel, Vijay Nagar",Kebabsville - Sayaji Hotel,"North Indian, Bar Food",4.9,f3b222e8-d78a-44f8-8f49-9c179f8802c0
24,"Hotel Shreemaya, RNT Marg",Shreemaya Celebration,"Bakery, North Indian, South Indian, Fast Food",4.6,c9c9f33b-611e-4c63-aea9-89f2a7894b96
25,Sarwate Bus Stand,Hotel Madni Darbar,North Indian,3.9,4b7c55ad-d690-452a-8f1f-07c4ee0a6403
26,Old Palasia,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",4.2,ee2fbd27-3bae-4be0-99bf-ff3d453b5cc8
27,Vijay Nagar,Domino's Pizza,"Pizza, Fast Food",3.8,d1c58784-969c-4108-8260-9c0849f85331
28,New Palasia,The Monroe,"Italian, Chinese, North Indian",4.4,b31ce7a7-9b40-450b-b63e-28238e32fafb
29,Sapna Sangeeta,Singh Sahab,"North Indian, Chinese",3.9,c68d2b64-dc79-4509-bd96-a5e0d38ddbef
30,Vijay Nagar,Taberna - The Cafe Bar,"Italian, North Indian, Chinese",4.4,9c131b60-e675-4efc-8599-88335ae9ffb4
31,New Palasia,Mangosteen Cafe,Cafe,4,faa6b3d8-0367-4120-91e1-a53f3777028f
32,"Malhar Mega Mall, Vijay Nagar",KFC,"Burger, Fast Food",4,564a834a-1da1-42c6-b1c6-b53b7451312b
33,Vijay Nagar,Tic Tac Toe,"North Indian, Chinese, Fast Food",4.4,d3ba9e2a-aef6-4dbd-b9b6-ae1c48dc5a48
34,"Indore Marriott Hotel, Vijay Nagar",Indore Kitchen - Indore Marriott Hotel,"North Indian, Italian, Asian, Fast Food",4.4,d2d47323-c0d2-4b3f-8a9d-6e77cfcee3fe
35,Old Palasia,Dilli Darbar Family Restaurant,"Chinese, North Indian",3.9,de297c77-edc0-4b1d-827a-0411fc81893f
36,YN Road,Mocha,"Cafe, Continental, Italian, Street Food",4.2,2658fa0e-561c-48db-8318-d4db70c68bd0
37,Geeta Bhavan,Rasgulla House,Mithai,4.3,5986824d-842e-42ad-a6a0-8dd1ecce0eb1
38,Bhawar Kuan,Gyaniji Ka Khalsa Dhaba,"North Indian, Chinese",3.9,79cd1eb9-2ca5-40fa-87fc-9ad2c4ee84b5
39,Sapna Sangeeta,Pishori Restaurant,"North Indian, Chinese, Mughlai",4,2f07e1f6-9440-4fcc-8a57-8f27e9d3de06
40,"Malhar Mega Mall, Vijay Nagar",Banana Leaf,"South Indian, North Indian",4.3,761e2a32-d3d4-494c-be9f-60ddc6ea36f6
41,Annapurna Road,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",3.8,714c65f5-6935-4b5c-9a3c-bf30a8a5fb70
42,Vijay Nagar,"Raja Ram - Dhaba, Sweets & Namkeen","North Indian, Mithai, Street Food",4.1,be89d79f-60be-477e-9045-bcf9804fefad
43,Vijay Nagar,Patissez,"Continental, Desserts",4.3,0c3a6fa2-9421-42ab-a765-2f3518c633a6
44,Old Palasia,Shiva Chinese Wok,"Chinese, Fast Food",4.1,0a6a5fec-57b2-4d7a-bc16-44afd0f8e7ca
45,New Palasia,Old Kolkata Roll Club,"Chinese, Rolls",4.1,e3d42297-dbd5-4391-b368-fc46f50589ae
46,Vijay Nagar,Tinku Everfresh,"Sandwich, Fast Food, Beverages",4.2,6200a3bd-7738-480c-b89c-d2c7ea46e3ed
47,New Palasia,Mama Loca,"Continental, Italian",4.3,cdfe8051-50c0-421f-8f58-a37aaa3da584
48,"Infiniti Hotel, Vijay Nagar",Hobnob Gourmet Cafébar,"Continental, Italian, North Indian",4.6,43b30375-c37d-4b86-babf-37054a5e078d
49,RNT Marg,KFC,"Burger, Fast Food",3.8,ca6ff948-5f9b-460a-b6e9-5bffc70746b3
50,New Palasia,O2 Cafe De La Ville,"Cafe, Fast Food",4.1,d5201af3-5159-48bc-ac0b-e3b3cb629b51
51,Rau,Guru Kripa,North Indian,3.9,f6aecf9e-b26a-46de-bba3-d63ce45699b2
52,Bhawar Kuan,Just Paratha,"North Indian, Fast Food",4,7c26b42d-3746-4ed7-b05f-d4bb68be5e78
53,Vijay Nagar,Just My Bakes,"Cafe, North Indian, Bakery",4,87743d5f-4846-4c0b-b473-fe3ecdbc12f7
54,Old Palasia,Mr. Beans,"Cafe, French, Italian",4.3,106bfa1f-8fb2-44fa-8d9f-9e96705ee7aa
55,Vijay Nagar,Cafe Chapter One,"Cafe, Italian, Fast Food",4.5,27d2774c-8f43-41d6-a90c-4e3234fecc4b
56,Rajendra Nagar,Shreemaya Celebration,"Bakery, North Indian, South Indian, Fast Food",4.3,22d5d63c-3b2a-4e6f-9e68-580422c38a07
57,Bhawar Kuan,Tinku's,"Sandwich, Fast Food, Beverages",4,a3f568c9-6b00-4f17-8b83-36f507bb6bc7
58,Manik Bagh Road,Oye24,"North Indian, Chinese",3.7,b1dfd21b-2f1a-4e8c-9b44-98f97ea7e219
59,Vijay Nagar,Cafe Terazza,"Cafe, Italian, Chinese",3.9,ca2a4241-d97c-41c7-b4c1-5f5f05a99a46
60,"Infiniti Hotel, Vijay Nagar",Bollywood Theka,"North Indian, Fast Food, Finger Food",4.4,ae62f7fe-693d-4a4c-b023-9f4f538b7022
61," Hotel Somdeep Palace, Vijay Nagar",Mustang - Hotel Somdeep Palace,"North Indian, Chinese",4.7,c0ee415d-8a72-46e3-9179-d3218a14b4f4
62,Sapna Sangeeta,Pizza Hut,"Pizza, Fast Food, Italian",3.6,e91e78d0-cdc3-44ac-8cf4-aecdaabae805
63,"56 Dukan, New Palasia",Johny Hot Dog,"Fast Food, Street Food",4.5,d95b3d47-e03f-4a9b-82cd-bddb33928f6a
64,Sudama Nagar,Just My Bakes,"Cafe, North Indian, Bakery",3.8,fa650612-8c96-49a3-89e8-2b1da961d9e4
65,Sapna Sangeeta,Hotel Shree Leela,North Indian,3.8,3819bd70-fde9-44ac-bcc9-8d8a95ecae51
66,Old Palasia,Chill Baby,"Fast Food, Chinese, Pizza",3.9,6d9e2fea-091e-4fc2-a5bd-de92c368db24
67,Vijay Nagar,Cafe Yolo,"Cafe, Fast Food",4.1,8d0536d0-63f7-4a5d-b55d-14559675f812
68,Manik Bagh Road,JMB,"Chinese, Fast Food, Desserts",4.1,fbb3bd2a-ef79-48ac-b095-333271989ed2
69,Khajrana,Chick N Serve,"Lebanese, North Indian, Chinese",4.1,bdc7fc68-2ffd-4c51-ba74-e603b57462da
70,"Malhar Mega Mall, Vijay Nagar",Pizza Hut,"Pizza, Fast Food, Italian",3.3,d49edd4a-f81e-46e1-8e6d-9a0571844bb2
71,HIG-LIG,Food 4 Foodie,"North Indian, Fast Food",3.7,8d446c1c-956e-4339-8a7b-7a2942bb66db
72,"56 Dukan, New Palasia",Vijay Chaat House,Street Food,4.8,15f58e94-5d95-41dd-8122-93b6ef3e8f91
73,Old Palasia,Ravi Alpahar,Street Food,4.3,e5028b0c-480e-4b1e-83ef-a0c5c66d888b
74,RNT Marg,Naturals Ice Cream,"Desserts, Ice Cream",4.7,bd375fe1-d3f0-4be0-85a2-0253c564da99
75,Sarwate Bus Stand,Shree Leela Dal Bafle,North Indian,3.9,e70bf77f-a89c-4540-a377-60f2566a091d
76,Vijay Nagar,The GroundBaking Co.,"Pizza, Continental, Beverages",4.4,96f0d1e2-7750-43d1-8d81-965f75312e5c
77,Old Palasia,Behrouz Biryani,"Biryani, North Indian, Mughlai",4.4,4f22c2e4-68fe-4fb9-8976-1b74f46dd745
78,Sudama Nagar,Sheetal Restaurant,"North Indian, South Indian",3.9,7f023255-c28f-4de9-8c1f-b922aff46ced
79,Sudama Nagar,Parag Bakery & Fast Food,"Bakery, Fast Food",4.1,d5e34c9b-cf88-44e0-a082-5d4f44b4b280
80,New Palasia,Oiya,Cafe,4.4,b614bd47-259d-4f04-9a25-c3200ec53012
81,Vijay Nagar,10 Downing Street,"North Indian, Chinese",4.1,998cf4af-f316-4e33-b9fb-ca758c219f4d
82,"Hotel Shreemaya, RNT Marg",Hotel Shreemaya,"North Indian, Mughlai, Chinese",4.4,94ee82eb-a842-4b59-9dde-1ada58a9f980
83,Sapna Sangeeta,Mukki Ke Zayke,Fast Food,4.4,484321c9-f590-44f4-8680-c5b09cfea299
84,YN Road,Tinku's,"Sandwich, Fast Food, Beverages",4.2,60045351-8ede-456c-9960-451a6ebd7d6d
85,MR 10 Road,Little Monk,"North Indian, Italian, Chinese",4.2,41a5ea49-6164-406e-bce7-8167802c47a0
86,Vijay Nagar,Chang's Legacy,"Chinese, North Indian",4.6,0212e294-47e9-46d8-b9b3-e65b64afa341
87,"56 Dukan, New Palasia",Johny Hot Dog,Fast Food,4.3,3ed6b046-c829-4587-b7bd-f2a788b32f02
88,Rajendra Nagar,Domino's Pizza,"Pizza, Fast Food",3.8,7dd894de-5041-47bc-883a-15127621669f
89,Bhawar Kuan,JAL - A Jungle Restaurant,"North Indian, Chinese",4.2,b4f6b27a-2676-42f0-a8f4-41b9462370d0
90,Old Palasia,Foobae,"Burger, Beverages, Fast Food, Desserts",4.1,9b7f7f4f-4754-40d3-9fd1-fa52dfac4e1b
91,Vijay Nagar,Singh Restaurant,"North Indian, Chinese",3.8,6dd67f56-e9f5-4097-92e1-deaa3eeded16
92,New Palasia,Dilli Da Roll,Rolls,4.4,ca22e527-1b39-4bc8-9784-3787fd72bb48
93,"56 Dukan, New Palasia",Sam's Momos,"Momos, Chinese, Rolls, North Indian, Fast Food",3.9,9ac36873-6614-4313-a01c-89212fdeae75
94,Vijay Nagar,Pind Balluchi,North Indian,3.9,c63c77f3-dd2f-4824-ab8e-a333815fd55f
95,Vijay Nagar,Tea Shack,"Fast Food, Italian",4.2,81dae661-d1c9-4270-ab35-848b3dcedc70
96,New Palasia,Via Indore,North Indian,3.6,172e3b76-8596-4e7b-8fda-3d8d714d6f01
97,HIG-LIG,Delicious Hut,North Indian,4.1,f6d2cab4-3b7a-45fb-a507-2220b3171354
98,Annapurna Road,Madhur Zayka Sweets n Cafe,"North Indian, South Indian, Fast Food, Mithai",3.8,8643a200-9ea7-4263-80f6-a823bef55c68
99,"Mangal City Mall, Vijay Nagar",Behrouz Biryani,"Biryani, North Indian, Mughlai",4.4,d4912e0d-e6a8-4de0-9d4f-897f6920b789
100,"Radisson Blu Hotel, Vijay Nagar",Ethyl Bar - Radisson Blu Hotel,Finger Food,4.2,38dff36f-d167-4103-9126-386c4862e79f
101,"Sayaji Hotel, Vijay Nagar",Mediterra - Sayaji Hotel,"Mediterranean, Italian",4.5,78a0e298-3685-4ffa-83a0-32a2ebdd7c73
102,"Hotel Wow, Vijay Nagar",Twilight - Hotel WOW,Bar Food,4.3,5bbe3425-32c2-41af-8c8e-3cebb73a31b1
103,"Radisson Blu Hotel, Vijay Nagar",The Creative Kitchen - Radisson Blu Hotel,"North Indian, Continental, Mexican, Italian",4.1,b0c8fcd7-756f-4f5c-a0cb-b9f62e7f5fef
104,"Indore Marriott Hotel, Vijay Nagar",One Asia - Indore Marriott Hotel,"Chinese, Asian",4.5,b647a2de-eca2-4747-a037-425e043e1552
105,Vijay Nagar,F Bar & Kitchen,"Continental, North Indian",3.6,ff150dee-b420-4b0a-96c4-7ffdbf557fb6
107,By Pass Road (North),Jonathan's Kitchen,"North Indian, Italian",4.1,a308f0cc-76f6-4628-a515-59b3c43faa9e
108,Vijay Nagar,5/78 Skybar,"Japanese, Asian, Mexican, Italian",4.2,3b644b9a-04f5-4d33-902e-1d725ebe1b55
109,"Radisson Blu Hotel, Vijay Nagar",Ni Hao - Radisson Blu Hotel,"Asian, Chinese, Momos",4.6,f5079ef3-8e33-41bf-a10b-5d1bcb1f0163
110,"Radisson Blu Hotel, Vijay Nagar",Indiya Oye - Radisson Blu Hotel,"North Indian, Kashmiri",4.3,bd21de50-7844-42df-a095-28a7546e2c28
113,Bhawar Kuan,KYRO,"North Indian, Chinese, Continental, Mediterranean, Asian",3.7,a6163494-fc73-4b7a-8a15-41260e4fe915
114,"Hotel Wow, Vijay Nagar",Constellation - Hotel WOW,"North Indian, Asian, Italian",4.2,7a5dc308-05ea-47e2-8963-68a07debfda5
115,"C21 Mall, Vijay Nagar",Sky Blue Sports Bar,"Finger Food, North Indian, Chinese, Mughlai",3.3,2eeb663f-4821-42ab-b83f-40d71c8e4f44
116,"Sayaji Hotel, Vijay Nagar",Sanchi - Sayaji Hotel,"North Indian, Chinese",4.3,5c507e7d-17a4-4c7a-84ec-31628cdd19f2
117,Vijay Nagar,Not So Desi,North Indian,3.7,50b4c2d1-a11b-48c3-b8fa-372c832a3617
118,The Grand Bhagwati,Mr & Mrs Somani - The Grand Bhagwati,North Indian,4.4,4ecd9663-5fd9-4953-8f11-eae0c825a57e
122,Vijay Nagar,Shosha Cafebar,"North Indian, Mexican, Italian",4,af84cae0-5740-44de-beb2-e53016ed1608
123,Old Palasia,Vidorra,"North Indian, Chinese",4.1,f6e306e9-f3fc-470f-a5a5-84481bff2682
124,"Sayaji Hotel, Vijay Nagar",Chopstick City - Sayaji Hotel,Chinese,4.5,ebac5df2-bc44-406b-b8ce-cdc5a8121ccd
125,Vijay Nagar,Farzi Café,"North Indian, Continental",4.2,94b6a830-0ec8-427d-bdc3-7ccbd517efe5
126,"The Red Maple Mashal, Rau","#1, Culinary Avenue - The Red Maple","North Indian, Chinese, Continental",3.9,09992ea5-227d-4095-9643-1bd6827ecba6
127,The Grand Bhagwati,Cafe Piano - The Grand Bhagwati,"North Indian, Italian",4.1,5c135cf7-0bbe-4f3f-8415-cab8eceec494
128,Fairfield By Marriott,Kava - Fairfield by Marriott,"North Indian, Asian, Italian",3.8,cf2ddca3-2ee2-4139-a0f7-27dbb0dc4ea7
129,"Indore Marriott Hotel, Vijay Nagar",54 Praangan - Indore Marriott Hotel,"Awadhi, North Indian",4.4,729a52dd-2583-42ec-995c-a2c5c530fe1c
130,"Indore Marriott Hotel, Vijay Nagar",Indore Baking Company - Indore Marriott Hotel,Bakery,4.4,6af68119-b4a2-48ae-8ee8-10aaea6535b3
131,"C21 Mall, Vijay Nagar",Calypso,"North Indian, Chinese, Continental",3.9,b319e5e2-3e7d-4758-8aa0-0e9dcfd3aa71
132,Vijay Nagar,The Beer Cafe,"Finger Food, Bar Food, Pizza",4,15e768ce-f438-4ca5-960e-88ff8874f81c
133,"Hotel Effotel, Vijay Nagar",Good Old Days - Hotel Effotel,"North Indian, Asian, Street Food",4.2,a851bb10-c7e2-4e4d-8b74-14999dc545af
134,Vijay Nagar,Agent Jack's Bar,"Italian, North Indian",4,c6bb4d75-6a10-4c63-bf17-68961ed37fdf
135,Vijay Nagar,Tipsy Tales Bar Terminal,"Chinese, Italian, Continental",3.5,84703f87-f4b7-4897-a469-f9d8467d3461
136,"Mangal City Mall, Vijay Nagar",Level 3,"North Indian, Finger Food, Mughlai",3.4,a14118a5-2c82-479b-8c09-3a161887f21c
137,South Tukoganj,Mirchi and Mime,"North Indian, Mughlai",4,76e07ff0-7553-435e-993d-a96a827cba9e
138,Vijay Nagar,Trance The Pub,"North Indian, Finger Food",3.9,7dd49ed8-0c57-4a49-9b17-045ada66ceb9
139,Vijay Nagar,The Eighteen Fine Dine Lounge,"North Indian, Continental, Modern Indian",4.1,cbf2d329-3d88-4c8a-af66-b20c8a37b9d6
140,New Palasia,"Dakku,s","North Indian, Mughlai, Chinese, Fast Food",3.5,0e7e388e-818e-4261-bd58-45b549b13ec8
141,New Palasia,Glazz,"North Indian, Italian",3.2,67aca7bf-d9b5-4421-b040-109de7639f0b
142,Crescent Spa & Resorts,Courtyard - Crescent Spa & Resorts,"North Indian, Chinese",4,f75f0187-2c28-4a97-8376-8739c6960bdd
143,"Sayaji Hotel, Vijay Nagar",Quorum - Sayaji Hotel,"Finger Food, North Indian, Continental",3.7,8babe064-056e-45c8-b31d-ec92d3d82e0b
144,"Hotel Best Western Plus O2, South Tukoganj",High Ball - Hotel Best Western Plus,"Finger Food, North Indian",3.8,f10074e7-22d2-4c2e-b490-d3e73667401c
145,Old Palasia,Ego,"North Indian, Chinese",3.8,d54ad850-9007-46d9-867b-70f1c9a3f89f
146,"Indore Marriott Hotel, Vijay Nagar",Diamante - Indore Marriott Hotel,"Continental, North Indian, Finger Food",3.7,f0154b87-fbde-492b-ba22-501b747f1fdc
147,"Sayaji Hotel, Vijay Nagar",99 Degrees & Rising - Sayaji Hotel,"North Indian, Chinese, Pizza, Continental",3.8,1c372fca-dd4b-419a-95b4-94aa269b035d
148,Bhawar Kuan,Addiction Rooftop Bar By Solaris,North Indian,3.6,4071d096-9efb-4d9a-9596-ef391c6625c6
149,"Lemon Tree Hotel, RNT Marg",Slounge - Lemon Tree Hotel,Finger Food,3.6,0bc81efd-08fd-4e87-9d8b-5683264e52ee
150,"Sapna Sangeeta Mall, Sapna Sangeeta",Osmium Lounge,"North Indian, Chinese, Bar Food, Asian",3.4,25fc506c-9fcc-48cb-9680-d13c64054ed5
151,Bhawar Kuan,Brix & Barrels,"North Indian, Mughlai, Continental",3.1,128c15cf-57e2-45ea-8634-e9454b8875f7
153,"Infiniti Hotel, Vijay Nagar",Stars N Sky,"North Indian, Chinese, Mughlai",4.6,b1bbd843-7c6d-4716-8f4f-057d4a9cd6a5
154,"Infiniti Hotel, Vijay Nagar",Opium Bar By The Roof,"Finger Food, North Indian",4.4,f96eb46f-5ca3-41ad-b644-b72c5d7764a8
155,Vijay Nagar,Little Italy,"Italian, Mexican",4.5,402c4316-e88b-4a30-a73c-ac3221f1da81
156,"Hotel Best Western Plus O2, South Tukoganj",Golden Oven,"North Indian, Chinese, Continental",3.7,34206364-266f-4aa0-a4a0-70dbae23bb1e
157,Rau,Spiritual Pub & Restaurant,"North Indian, Chinese, Italian, Continental",3.4,d87cc7e1-8cd7-4c56-bc3e-451874e45118
158,"Country Inn & Suites By Radisson, Vijay Nagar",Big Shot Bar - Country Inn & Suites by Radisson,Bar Food,3.2,77ce2050-181f-4619-be07-e5391fcbc3f0
159,Kothari Market,Beeji Restaurant,"North Indian, Chinese",3.6,146fce36-9101-4eb3-a20b-820f7d6948ec
160,YN Road,Classic Bar & Restaurant,"North Indian, Chinese",3.3,df8ac14b-8e08-4905-b42b-89c049aba8c7
161,"Hotel Crown Palace, South Tukoganj",Lancer Cocktail Lounge,"North Indian, Mughlai, Continental, Chinese",3.3,7a26ab03-56ff-4927-9b0d-0c00399e31b4
162,By Pass Road (North),Signature Boutique Hotel,"North Indian, Chinese",3,9935d5e1-73c7-4bc4-a550-493645ff7f57
164,Papaya Tree Hotel,Hill's View - Papaya Tree Hotel,"North Indian, Chinese, Italian",4.4,11315811-a605-4e75-ba73-af57e1eaa128
165,By Pass Road (North),Echidna Restobrew,"Mediterranean, Asian, North Indian",3.5,2314996d-07f8-452e-a168-252fac20e835
166,By Pass Road (South),Quenchyard,"North Indian, Chinese",4.1,13da172e-cff5-4a69-bb36-61d4024c730f
167,Vijay Nagar,The Cliff Restaurant & Bar,"North Indian, Chinese",2.5,3330ede4-b659-40ef-875f-f8077baa8b0d
168,Papaya Tree Hotel,Zest - Papaya Tree Hotel,"North Indian, Chinese, Italian",3.8,25662b8a-913f-4b46-87e3-e71dd2df6a10
169,"Hotel Amar Vilas, Press Complex",Salt and Pepper,"North Indian, Chinese, Continental",3.4,18cc9e59-c693-4f29-b34a-371ec0d066f4
170,"Hotel Amar Vilas, Press Complex",Couple Lounge,"North Indian, Chinese, Continental",3.7,ad783139-966d-49ee-afca-48f396764ebe
171,By Pass Road (North),Jonathan's Grill & Barbeque,"North Indian, BBQ",3.8,cc2cff2a-f256-4edd-84fa-ac153480e910
172,Old Palasia,White House,"North Indian, Chinese",3.4,54181f27-5bfa-418e-964d-27dcc0e6c94a
173,Sudama Nagar,Boozer's Bar,"North Indian, Chinese",3.3,0f2bae46-4074-4723-97cc-f999a23c5ae4
174,Mari Mata Square,Sapna Bar And Restaurant,North Indian,3,1a17d842-6840-4c95-9fdc-0d280282ec35
177,Vijay Nagar,Fagun Restaurant,"North Indian, Continental, Chinese",4.3,1d8204a5-f112-467d-b5f1-71ebfd65e82a
178,"Hotel Effotel, Vijay Nagar",Capers - Hotel Effotel,"North Indian, Italian, Chinese, Continental",4.5,2fe03299-269d-4658-a547-4b0c323b7059
179,"Hotel Shreemaya Residency, Press Complex",Hotel Shreemaya Residency,"North Indian, Chinese, Continental",4.2,0f6e5424-433b-4e17-ad32-55d93675dbdc
180,Vijay Nagar,The Piano Project,"North Indian, Mughlai",4.3,c68b4b01-d225-4883-a638-41ffc936918f
181,Sapna Sangeeta,City Gymkhana Club,North Indian,3.9,cc176e76-03d8-4f95-93de-e96184045460
182,"Lemon Tree Hotel, RNT Marg",Citrus Cafe,"North Indian, Italian, Chinese, Cafe",3.6,52782537-564f-403e-b1bf-6f905fd2aeab
183,Vijay Nagar,Livup Cafebar & Lounge,"North Indian, South Indian, Chinese, Cafe, Beverages",3.7,621b7c77-aaf9-47d1-a6a1-2b9bfa1b86f1
184,"Country Inn & Suites By Radisson, Vijay Nagar",Mosaic - Country Inn & Suites by Radisson,"North Indian, Continental, American",4,2b8754e7-bc58-4ce3-9187-a8e7f3efb000
185,South Tukoganj,Hotel Kanchan,"North Indian, Chinese",3.8,5cfdf7c3-6be5-4ce8-891a-91a52a2b2e6a
186,"Golden Gate, Vijay Nagar",The Arch - Golden Gate,"North Indian, Chinese",3.4,cedf0840-24ed-4567-892c-8f6bb30af3b1
187,Annapurna Road,60 ML,North Indian,3.7,7171b857-828c-4ec7-bf26-99b184831c3b
188,Crescent Spa & Resorts,Exotica The Lounge Bar - Crescent Spa & Resorts,"Finger Food, Continental",3.5,9e5c7836-854c-4616-a486-0cb60fac8d0e
189,"Malhar Mega Mall, Vijay Nagar",District 11,"North Indian, Italian, Mexican",3.4,9db05208-8cfa-48b2-a20f-5bee9c8c605b
190,Crescent Spa & Resorts,Shack Pool Bar & Grill - Crescent Spa & Resorts,"North Indian, Italian, Finger Food",3.7,be4629f2-9752-48ab-8db3-5256cfd1e3ea
191,"Hotel Amar Vilas, Press Complex",The Lounge Bar - Hotel Amar Vilas,"North Indian, Chinese",3.6,881e0f70-5274-4fec-b96d-ef66496f1ff8
192,By Pass Road (North),The Tipsy Buffalo,"Finger Food, North Indian",3.5,5991b1f3-403e-45e6-a0bc-6861388cd7f5
193,Bhawar Kuan,Sundown - Solaris Club,"North Indian, Chinese",3.3,e4ee523b-0cfa-41da-b2eb-cc732b9fc270
194,South Tukoganj,O2 Club & Lounge,"Chinese, North Indian, Continental",3.7,3e6df2a6-7d9c-4e7f-8ac8-d12d10980c34
195,"Golden Gate, Vijay Nagar",Blue Dip - Golden Gate,"North Indian, Chinese",2.9,4c13fe5b-d602-494e-9ebf-e5cbcd3e9380
196,South Tukoganj,Smaaash,Finger Food,3.4,845127a5-397a-4282-8be9-8c0e19874aba
197,RNT Marg,Chasers Pub & Restaurant,North Indian,2.8,ce09fd21-62b9-4195-b607-767df250f61c
198,"Regenta Central, By Pass North",Masala Craft - Regenta Central Hotel,North Indian,3.1,5a12db9e-4e42-4131-92be-999c1c6f05f8
199,Jail Road,Lal Balti Ki Kachori,Street Food,4,a11d5bba-5e21-40c4-921b-64c5909e2790
200,Rajendra Nagar,Lal Balti Ki Kachori,Street Food,3.8,18aa7b35-7f47-4b2a-8560-72e1c937338b
204,Sarafa Bazaar,Vijay Chaat House,Street Food,4.4,a2041192-4548-4e53-abf9-238f57129b7b
205,Sarafa Bazaar,Joshi Dahi Bada House,Street Food,4.9,b9114c69-9a02-465a-aec2-2165c13719fa
206,Sarafa Bazaar,Swadisht Samosa Corner,Street Food,3.9,a25da3bc-e90c-454c-a07a-281d36b58b88
207,Jail Road,Jagdeesh Sweets,"Street Food, Mithai",3.7,b28ab920-d45c-499c-a6a1-d263d56121f8
208,Kothari Market,Ravi Alpahar,Street Food,3.9,66afc97f-a05e-4395-8a92-78f43b23deb4
209,Rau,JSK Sweets & Restaurant,"Mithai, Street Food",3.7,84553dad-fa89-4836-aa73-487a358b5197
210,Bhawar Kuan,Punjabi Dhaba,North Indian,3.2,c3e3d3b8-4232-4ed1-9b79-39aca9d4facb
211,Gangwal Bus Stand,Chanchal Namkeen,"Bakery, Mithai, Street Food",3.8,93c5bdd8-e3d9-4765-bf34-e06ed3be2ef1
212,Chhavani,Bombay Bakery,"Bakery, Street Food",3.5,8fe8dcf4-8be7-46a5-8fe1-3e6fc0d609db
213,Sarafa Bazaar,Sawariya Seth Khichdi,North Indian,3.6,23bc4b18-438b-48d5-86ee-b24f80f772eb
214,Bhawar Kuan,Ramesh South Indian,South Indian,3.8,7bbd9490-67ca-492a-9fbe-23f655c95b9e
