id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
1207,Sarafa Bazaar,Agra Chaat,Street Food,3.3,0fab7e2c-b304-41f8-b746-febc112c5af0
1210,New Palasia,Cafe 8 o'Clock,"Fast Food, Sandwich",3.1,0ffca5ea-8f5c-4c4c-b837-ca6016c4355f
1212,New Palasia,Sanjay Egg Centre,Street Food,3.1,5c29b8e3-3561-44ec-90a1-517f3b12f4b0
1231,"Sayaji Hotel, Vijay Nagar",Go Bananas - Sayaji Hotel,"Italian, Mexican",4.1,3424f623-e5f3-4d47-9d0f-962b79afab8e
1233,The Sensation Hotel - Rajendra Nagar,Mad-eira - The Sensation Hotel,"North Indian, Chinese",3.6,324093dc-2f1e-4003-a3e0-937b6630dc56
1239,Khajrana,Ozone Wine & Dine,"North Indian, Continental, Fast Food",3.4,a609f851-e862-4747-8838-b7cbcff06780
1242,Vijay Nagar,Mama Loca,"Continental, Italian",4.1,34e0e6fb-d4f5-43f9-b6a0-f3628b6d4ed4
1246,Rajendra Nagar,Robusta Cafe,North Indian,3.7,ca93a50b-835c-4cd7-9c96-87610a4deb48
1247,By Pass Road (North),Cafe Blue Turtle,"Cafe, Italian, Continental, Beverages",3.7,9553f8bd-201f-4416-8861-0d1dd75a4489
1248,"Hotel Surya, South Tukoganj",Hotel Surya,"North Indian, Chinese",3.7,4ed96d20-7b02-4e0f-b300-51fcceae3bfe
1249,Vijay Nagar,Bottom Sip Bar & Restaurant,"North Indian, Chinese, Finger Food",3.7,a58ae9f8-b575-4c35-97b1-96ac9d8c88ef
1251,"Hotel Kanchan Tilak, South Tukoganj",The Roof,"North Indian, Chinese",3.5,c16e9f71-9bbf-4168-8c42-5d276008f6f6
1254,South Tukoganj,Amaltas,"North Indian, Chinese",3.6,183dba46-a488-43de-bf77-25d1acaff64e
1264,By Pass Road (North),Carobar  Indore,"North Indian, Mexican",3.7,76cfd3e5-de7c-4981-a0c7-61bd014288e4
1265,Bhawar Kuan,A-1 VIP Bar & Restaurant,"North Indian, Chinese",3.3,694a298b-452b-440a-9417-cb4ba83a8a6d
1269,Pride Hotel & Convention Centre,Fuel Bar,Finger Food,3.6,f6d4d6e9-6ec9-470b-aba2-0ce8a68cdf2c
1270,Gangwal Bus Stand,Hotel Shivani,North Indian,3.2,3f6dee6f-37af-49f7-9fb5-3c97a7d97d00
1272,Vijay Nagar,The Liquid Restro Bar - Hotel Uday Palace,"North Indian, Chinese",3.3,025e323e-ccd3-4686-a31c-85478e726d2b
1273,YN Road,Good Luck Restaurant & Bar,Finger Food,3.2,d1fe0a34-d61b-4986-9f4a-de880b389d34
1274,Sarwate Bus Stand,Hotel Sunder,"North Indian, Chinese",2.8,c982d4ee-2ac6-4245-8004-cfca29c14e0b
1275,Rajendra Nagar,Tonicue The Bar,"Chinese, North Indian",3,7d9aacdc-1920-442f-bde4-09e586f16f7c
1277,"Devi Ahilya Bai Holkar Airport, Airport Road",Clink Bar,Finger Food,2.9,a5e7007f-0e5f-45d8-ac03-a2763fd091b4
1278,Navlakha,Hotel Surbhi Restaurant & Bar,North Indian,3.1,c83182a8-735a-4bd6-9097-dd35c5bace00
1279,South Tukoganj,Fantasy Lounge and Bar,"North Indian, Chinese",3.1,69d5091a-4059-4912-88c1-08f89684b857
1281,"Hotel Kanchan Tilak, South Tukoganj",Signature Bar,"North Indian, Chinese",3.2,33ef52ad-7fda-45ec-a77f-b0162d9aaf0e
1303,Vijay Nagar,Vijayshree Sandwich,Sandwich,3.9,bb213779-3b20-4bf1-bc2d-0e759a149be2
1305,Sapna Sangeeta,Sagar Juice Center,Beverages,3.9,48ef9e38-ff1a-4c03-8ac6-7bb718ea3fdb
1306,Sarwate Bus Stand,Ghamandi Lassi,Beverages,4,13d6b75d-2807-4aaf-a9f2-6b722b457c7e
